starname,tic_id,mass,mass_mc_err,mass_observed,mass_resid,age_log10yr,age_gyr,age_gyr_mc_err,age_observed,age_resid,feh,feh_mc_err,feh_observed,feh_resid,AV,AV_mc_err,distance_pc,distance_pc_mc_err,chi2,dof,red_chi2,success,message,bands_used,used_teff_initial,used_feh_initial,used_age_initial,BP_mag_obs,BP_mag_model,BP_mag_resid,G_mag_obs,G_mag_model,G_mag_resid,RP_mag_obs,RP_mag_model,RP_mag_resid,J_mag_obs,J_mag_model,J_mag_resid,H_mag_obs,H_mag_model,H_mag_resid,K_mag_obs,K_mag_model,K_mag_resid
K2-322,277869696,0.6246141725355704,0.007700767410635271,0.63,-0.005385827464429616,9.915367076890472,8.229379244194806,0.5148993387729301,nan,nan,0.15662015511953248,0.03435300280390791,nan,nan,6.073615047090912e-22,0.0006228294955026057,123.41482957222262,1.5394134592150766,17.672022061569002,2,8.836011030784501,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,False,False,14.17204748938,14.109715710813047,-0.06233177856695349,13.29346670278,13.290477989441856,-0.002988713338144322,12.37206438455,12.419410989942094,0.04734660539209301,11.194,11.259003628724825,0.06500362872482413,10.569,10.529297226767659,-0.03970277323234228,10.413,10.38609230546319,-0.026907694536809856
K2-324,392817207,0.5245433571882312,0.006338791387285031,0.517,0.007543357188231181,10.071387736487646,11.786578051913773,1.0979946787899424,nan,nan,0.22395975953394293,0.03346066576754367,nan,nan,3.0663029885609327e-16,0.03201312626284202,137.29309047748356,1.8763226477766506,6.422148735646627,2,3.2110743678233136,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,False,False,15.609893255225,15.54475900296579,-0.06513425225920955,14.500686333853,14.501002535052601,0.0003162011996007408,13.45649883277,13.514866595627439,0.058367762857438166,12.092,12.128394208558195,0.03639420855819431,11.457,11.423745664327441,-0.03325433567255942,11.237,11.242357389644948,0.0053573896449474745
K2-404,61312205,0.5551970017973825,0.005835752266328846,0.552,0.0031970017973824705,10.045625196441248,11.107726976935687,0.7673976832451121,nan,nan,0.13588800613147284,0.03776706642244522,0.005,0.13088800613147283,3.5919457292571095e-16,0.04793728233954415,121.11539316580873,1.4451654193948467,11.603690607999685,3,3.867896869333228,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,14.805781957165,14.757855613533758,-0.04792634363124115,13.8256799673,13.826834410612403,0.0011544433124033304,12.8455398258,12.895887036867745,0.05034721106774498,11.581,11.624517655395465,0.04351765539546548,10.944,10.912979627082125,-0.03102037291787596,10.75,10.7438763828984,-0.006123617101600587
K2-261,281731203,1.1057432384890158,0.006316715844707408,1.107,-0.0012567615109841945,9.944566123690494,8.801691120072894,0.008249255526076782,8.8,0.0016911200728930709,0.3807805938409846,0.06878248392914113,0.372,0.008780593840984618,0.026750712190030078,0.04266771185195483,215.26168204345564,4.3464035850734035,1.0387045730562643,3,0.34623485768542145,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,10.8503688469,10.847238594698496,-0.0031302522015046463,10.4600654887,10.460277176573527,0.00021168787352721097,9.9079298923,9.912927072381782,0.004997180081781849,9.337,9.315049772376838,-0.021950227623161567,8.92,8.946987351404292,0.026987351404292426,8.89,8.88920287159512,-0.0007971284048799987
EPIC 201497682,301610040,0.7283316304281815,0.01642125599858195,0.78,-0.05166836957181853,9.679180869440264,4.777281903922261,0.15303396808871095,nan,nan,-0.1471788202541077,0.09333701524890065,-0.0892,-0.057978820254107694,0.34891394698130385,0.1552309105904724,257.90951616221366,6.222388670947283,2.9238430052804776,3,0.9746143350934925,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,14.30741933345,14.290775827042479,-0.016643506407520547,13.72400367291,13.72229485818929,-0.001708814720709384,13.00060135725,13.016828631526375,0.016227274276374715,12.086,12.105005140016273,0.019005140016272293,11.54,11.521632059390104,-0.018367940609895328,11.438,11.427188043505687,-0.010811956494313435
K2-43,443616612,0.5753030259434474,0.007302441312592957,0.571,0.004303025943447447,10.124693968796892,13.325820801041731,0.5027460677056504,nan,nan,0.33450962362108,0.033345106787568586,nan,nan,7.744074718783689e-16,0.02716370391817255,182.20256876591847,3.3195495218980535,3.8583666605021203,2,1.9291833302510601,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,False,False,15.86498125713,15.824006704053039,-0.04097455307696052,14.79871128305,14.797479853004406,-0.0012314300455944505,13.77052122928,13.819716046536433,0.049194817256433154,12.422,12.442570967354179,0.020570967354178293,11.712,11.716357940834847,0.004357940834847085,11.577,11.54686307825764,-0.03013692174235949
K2-5,38064757,0.571260735813457,0.009241606734063742,0.61,-0.03873926418654294,9.634996963056206,4.315160593024346,0.6612246001294623,nan,nan,-0.279456077834645,0.0842002481070265,-0.33,0.050543922165355026,0.05030617156234776,0.08623157241736817,200.18000546813056,3.9761323043709824,5.294556305078674,3,1.7648521016928915,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,15.106919388653,15.0459996254155,-0.060919763237500035,14.32286065485,14.31576593083187,-0.00709472401813116,13.457883254407,13.501186914354287,0.0433036599472878,12.449,12.44395611587081,-0.0050438841291899905,11.758,11.740713785061377,-0.017286214938621924,11.595,11.608471806233242,0.013471806233241068
K2-36,363445121,0.7777892942261122,0.01065303440223172,0.79,-0.012210705773887831,9.088818758991572,1.2269270995968533,0.3467566001343664,1.4,-0.1730729004031466,-0.11609499442604025,0.08766596206571796,-0.047,-0.06909499442604025,0.2138288947478046,0.12306739317925969,109.44470650874122,1.1817594664342008,2.847578485400076,3,0.9491928284666921,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,12.04257326901,12.028215216698193,-0.014358052311806091,11.52425115359,11.523311391557828,-0.0009397620321731637,10.8508483866,10.86792970770327,0.017081321103271208,10.034,10.0533414591736,0.019341459173599418,9.549,9.526951060942903,-0.022048939057096817,9.454,9.447472084531876,-0.00652791546812459
K2-22,363445338,0.6155408073298677,0.01188833487462989,0.595292,0.02024880732986767,9.860346842039556,7.250147498532342,0.7831383826447428,nan,nan,0.2158401040373329,0.08887566104487787,0.032,0.1838401040373329,1.9152505058893578e-12,0.14299819065870403,237.0301157160038,5.634452560538275,12.776820750746861,3,4.258940250248954,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,15.821783565595,15.805264922282095,-0.016518643312904757,14.93433679407,14.921975478025347,-0.012361316044652071,13.95499529523,14.015494786794111,0.060499491564110386,12.726,12.785750300753605,0.059750300753604435,12.088,12.055789342300377,-0.03221065769962195,11.924,11.90261687092902,-0.021383129070979834
K2-50,363444743,0.6653501353479913,0.015547716982934051,0.611,0.05435013534799127,9.978041691588315,9.506960546041755,0.18631663301383258,nan,nan,-0.14684539630852914,0.10619014779277221,-0.1132,-0.03364539630852914,0.4141260518350944,0.2161802222251119,259.38955982925603,7.074718483146884,4.656968822926107,3,1.552322940975369,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,14.957903248516,14.907501889175773,-0.050401359340227714,14.2442557762,14.243505852125878,-0.0007499240741211111,13.43033130417,13.470648810704734,0.04031750653473409,12.41,12.433426400771179,0.023426400771178635,11.765,11.758123978914684,-0.006876021085316708,11.664,11.64379870027838,-0.020201299721620103
